,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
1380,4448 JT Equity,kubell,Software,グロース,2026/05/07,,12068069182,127085.1852,283,280,0.010714286,283,284,283.5,0.010695187,70600,284,277,0.044280443,-0.220385675,-0.287153652,-0.415289256,-0.763575606,-0.782808903,287.2592593,43.22002766,,54.17211419,5.950767356,-0.014827231,2026/04/28 6:57
1381,4449 JT Equity,ギフティ,Interactive Media & Services,プライム,2026/05/13,14:00,34543062320,337022.2222,1160,1140,0.01754386,1157,1162,1159.5,0.018445323,501400,1162,1126,0.059360731,-0.123867069,0.059493388,-0.249808139,-0.471173603,-0.632700049,1104.259259,62.21440318,0.011206897,29.9117328,3.775863275,0.050477947,2026/04/28 6:57
1382,4450 JT Equity,パワーソリューションズ,IT Services,グロース,2026/05/14,14:00,7555697110,7037.037037,2405,2506,-0.040303272,2401,2422,2411.5,-0.036940895,8200,2475,2401,0.023404255,0.035745047,-0.060790121,0.900212766,1.172910634,1.3398213,2400.62963,45.86400516,0.01039501,18.48869345,2.106073363,0.00182051,2026/04/28 6:57
1383,4452 JT Equity,花王,Personal Care Products,プライム,2026/05/12,14:30,2.72024E+12,1623440.741,5997,5953,0.007391231,5995,6000,5997.5,0.006883237,1478500,6020,5972,-0.005637539,-0.015109213,-0.068588188,0.016676877,0.173314166,-0.027580891,6068.518519,46.16517011,0.025679506,22.05919321,2.549208732,-0.011785169,2026/04/28 6:57
1384,4461 JT Equity,第一工業製薬,Chemicals,プライム,2026/05/13,13:00,88786714158,171681.4815,8310,8090,0.027194067,8270,8320,8295,0.025339926,79600,8310,8000,0.106524634,-0.211847496,0.352023668,2.249961489,3.759511027,1.608351372,8132.222222,50.20047929,0.018050542,15.7981779,1.818486092,0.02186091,2026/04/28 6:57
1385,4462 JT Equity,石原ケミカル,Chemicals,プライム,2026/05/15,,40975550720,22581.48148,2704,2736,-0.011695906,2692,2718,2705,-0.016363636,21800,2733,2670,0.143824027,0.184019145,0.318436777,0.349110957,0.90810642,1.861525251,2531.481481,61.72932506,0.016272189,14.81285681,1.558698433,0.068149232,2026/04/28 6:57
1386,4463 JT Equity,日華化学,Chemicals,スタンダード,2026/04/30,14:00,29026690000,15066.66667,1639,1627,0.007375538,1637,1641,1639,0.006756757,6300,1644,1616,0.021183801,0.005521472,0.126190129,0.320835141,1.077460171,1.178562253,1650.851852,46.35709101,0.036607688,11.41088387,0.741029558,-0.007179234,2026/04/28 6:57
1387,4464 JT Equity,ソフト９９コーポレーション,Automobile Components,スタンダード,2026/05/14,14:00,80857117440,8265.384615,3630,3635,-0.001375516,3610,3635,3622.5,-0.014285714,500,3630,3620,0.008333333,-0.106675835,-0.038501096,1.132012967,2.0104878,2.211634413,3662.115385,41.3380974,0.012947658,26.04332558,1.340506611,-0.008769627,2026/04/28 6:57
1388,4465 JT Equity,ニイタカ,Household Products,スタンダード,2026/07/10,,13663076548,10392.59259,2299,2300,-0.000434783,2288,2300,2294,-0.00369164,7000,2300,2280,0.017256637,-0.066206336,-0.126805582,0.106788611,0.163943075,0.004783866,2341.814815,32.54898926,0.039147455,8.535939114,0.855763967,-0.01828275,2026/04/28 6:57
1389,446A JT Equity,ノースサンド,IT Services,グロース,2026/06/19,,88803000000,413670.3704,1287,1269,0.014184397,1285,1287,1286,0.010212097,315000,1294,1244,0.083333333,-0.198630137,-0.122699387,-0.122699387,-0.122699387,-0.122699387,1351.666667,39.50991501,,19.81760383,5.396718323,-0.04784217,2026/04/28 6:57
1390,4471 JT Equity,三洋化成工業,Chemicals,プライム,2026/05/13,14:00,1.19086E+11,57451.85185,5060,5000,0.012,5030,5070,5050,0.008991009,41800,5060,5010,0.016064257,-0.055712759,0.223868124,0.446980848,0.338114845,0.170598863,5094.62963,45.80191408,0.033596838,7.457393912,0.734684846,-0.006797281,2026/04/28 6:57
1391,4475 JT Equity,ＨＥＮＮＧＥ,IT Services,グロース,2026/05/07,14:00,31395579600,280970.3704,966,945,0.022222222,963,967,965,0.019545695,303300,974,954,0.084175084,-0.186185957,-0.328772489,-0.424714197,0.340753844,-0.76050908,955.8518519,49.28370604,0.00621118,23.41305422,9.185310107,0.010616863,2026/04/28 6:57
1392,4476 JT Equity,AI CROSS,Software,グロース,2026/05/15,14:00,4815487300,27125.92593,1178,1095,0.075799087,1172,1180,1176,0.071038251,74000,1182,1095,0.202040816,-0.255372946,-0.341163311,-0.329157175,-0.082554517,-0.270136307,1000.62963,87.58378886,,22.90808314,2.300997983,0.177258763,2026/04/28 6:57
1393,4477 JT Equity,ＢＡＳＥ,IT Services,グロース,2026/05/12,14:30,34436043844,798181.4815,292,288,0.013888889,291,292,291.5,0.010398614,786600,293,286,0.050359712,-0.109756098,-0.073461538,-0.341128205,0.029487179,-0.839733888,292.0740741,46.20619094,0.017123288,17.93614217,2.252102508,-0.000253614,2026/04/28 6:57
1394,4478 JT Equity,フリー,Software,グロース,2026/05/13,14:00,1.33125E+11,753507.4074,2231,2196,0.015938069,2229,2245,2237,0.016356202,557500,2260,2206,0.120542441,-0.244752877,-0.360744986,-0.44708798,-0.423514212,-0.756971678,2180.185185,48.89053585,,143.8057711,6.557056432,0.023307568,2026/04/28 6:57
1395,4479 JT Equity,マクアケ,Professional Services,グロース,2026/04/28,14:30,11728804000,98788.88889,920,897,0.025641026,919,929,924,0.032402235,450400,938,864,0.019955654,-0.177837355,-0.089108911,0.270718232,-0.111969112,-0.848932677,962.7037037,39.74177312,,,2.055257324,-0.044358096,2026/04/28 6:57
1396,4480 JT Equity,メドレー,Health Care Technology,プライム,2026/05/13,14:00,73072555200,305844.4444,2232,2220,0.005405405,2226,2239,2232.5,0.004725473,330500,2240,2175,0.188498403,-0.066108787,0.002245173,-0.331736527,-0.368599717,-0.510526316,2094.222222,53.93794359,,112.9313191,4.660310727,0.065789474,2026/04/28 6:57
1397,4481 JT Equity,ベース,IT Services,プライム,2026/05/15,14:00,60556608000,72755.55556,3220,3175,0.014173228,3200,3220,3210,0.010228167,73500,3220,3175,0.015772871,0.047154472,-0.07485765,0.100452196,-0.407317236,0.150734855,3277.777778,40.4067946,0.036335404,14.18282444,4.098622595,-0.017627119,2026/04/28 6:57
1398,4482 JT Equity,ウィルズ,Software,グロース,2026/05/14,14:00,15453929600,12537.03704,734,727,0.009628611,726,734,730,0,4800,734,724,0.030898876,0.012413793,0.039434982,0.115390372,0.403853131,-0.350041932,727.037037,52.67329281,0.017711172,17.27116733,5.953670111,0.009577178,2026/04/28 6:57
1399,4483 JT Equity,ＪＭＤＣ,Health Care Technology,プライム,2026/05/08,14:30,2.18242E+11,416222.2222,3335,3365,-0.008915305,3325,3345,3335,-0.008915305,233100,3365,3315,0.03250774,-0.020558003,-0.309952411,0.054712207,-0.30585784,-0.311502402,3424.444444,38.58853457,0.004797601,26.65634836,2.663871282,-0.026119403,2026/04/28 6:57
1400,4484 JT Equity,ランサーズ,Interactive Media & Services,グロース,2026/05/15,10:00,4532418612,24233.33333,279,278,0.003597122,279,280,279.5,-0.003565062,10800,282,279,-0.017605634,-0.05399061,-0.066562164,0.526982547,-0.176056338,-0.608684138,289.8888889,26.51638317,0.007168459,23.60734437,3.118119644,-0.037562284,2026/04/28 6:57
1401,4486 JT Equity,ユナイトアンドグロウ,IT Services,グロース,2026/05/14,14:00,5120337600,9070.37037,643,666,-0.034534535,642,650,646,-0.036539896,12500,661,643,0.02388535,-0.096910112,-0.071475571,0.141193451,0.255047284,-0.030590067,655.1111111,37.54587097,0.043545879,12.41470657,2.269379214,-0.01848711,2026/04/28 6:57
1402,4487 JT Equity,スペースマーケット,Diversified Consumer Services,グロース,2026/05/15,14:00,3462287400,9792.592593,286,283,0.010600707,285,286,285.5,0.007054674,4000,288,280,-0.023890785,-0.056105611,-0.130699088,-0.046666667,0.059259259,-0.648216482,292.037037,41.00831772,,15.79890622,3.435557905,-0.020672162,2026/04/28 6:57
1403,4488 JT Equity,ＡＩｉｎｓｉｄｅ,Software,グロース,2026/05/13,14:00,10515868550,17862.96296,2629,2654,-0.009419744,2617,2632,2624.5,-0.009622642,19700,2634,2551,0.193914623,0.036671924,-0.098422497,-0.151935484,-0.391435185,-0.929517426,2344.555556,72.74464216,,13.68225815,2.17717965,0.121321264,2026/04/28 6:57
1404,4490 JT Equity,ビザスク,Professional Services,グロース,2026/07/15,,6609367400,81311.11111,713,693,0.028860029,710,715,712.5,0.017857143,85200,730,690,0.409090909,0.1408,0.153721683,-0.141997593,-0.468703428,-0.825458996,578.6296296,63.84668122,,8.284122393,,0.232221724,2026/04/28 6:57
1405,4491 JT Equity,コンピューターマネージメント,IT Services,スタンダード,2026/05/11,14:00,6266850000,1559.259259,3075,3020,0.018211921,3050,3075,3062.5,0.015754561,2200,3075,3000,0.052721671,0.052721671,0.193671853,0.78203481,1.221766348,1.416253498,2994.666667,63.42947193,0.019512195,14.35212411,1.578831395,0.026825467,2026/04/28 6:57
1406,4492 JT Equity,ゼネテック,IT Services,スタンダード,2026/05/15,15:00,5500291300,13896.2963,469,467,0.004282655,463,470,466.5,0.004305705,12400,471,461,-0.024948025,0.026096363,-0.009869902,-0.050962257,1.436931719,0.729787327,473.1111111,49.54702373,0.041577825,13.79311278,2.259742796,-0.008689526,2026/04/28 6:57
1407,4493 JT Equity,サイバーセキュリティクラウド,Software,グロース,2026/05/15,15:00,16676983620,150811.1111,1605,1601,0.002498438,1600,1607,1603.5,0.005329154,68600,1605,1570,-0.032549729,-0.107341491,-0.192882424,-0.044870952,-0.116735399,-0.494684045,1666.851852,44.01841323,0.003115265,19.6950323,3.719858604,-0.037106988,2026/04/28 6:57
1408,4494 JT Equity,バリオセキュア,IT Services,スタンダード,2026/07/10,,3414835555,11392.59259,755,761,-0.007884363,755,761,758,-0.005249344,6400,769,755,0.052998605,-0.009186352,-0.087061669,0.143939394,-0.149774775,-0.470189059,750.7777778,45.00012715,,9.07670113,0.544085299,0.005623798,2026/04/28 6:57
1409,4495 JT Equity,アイキューブドシステムズ,IT Services,グロース,2026/05/13,15:00,10690539750,10970.37037,2013,2040,-0.013235294,2010,2022,2016,-0.01993194,12600,2061,2008,-0.034532374,-0.223079892,-0.168632254,0.294762113,0.577941445,-0.521052059,2142.555556,30.81089336,0.017883756,13.70218462,3.469720324,-0.06046777,2026/04/28 6:57
1410,4496 JT Equity,コマースOneホールディングス,Software,グロース,2026/05/14,15:00,5359083000,2246.153846,745,738,0.009485095,743,745,744,0.001345895,1700,745,738,0.001344086,-0.029506053,-0.059683103,-0.037355427,0.067916439,-0.644640806,752.6923077,45.33316534,0.028187919,22.86527141,1.980542177,-0.010219724,2026/04/28 6:57
1411,4498 JT Equity,サイバートラスト,IT Services,グロース,2026/07/29,,20127304400,56411.11111,1211,1248,-0.029647436,1206,1218,1212,-0.019813991,202700,1222,1170,0.069787986,-0.044623376,-0.160605312,0.060977422,0.036425055,-0.345687125,1194.037037,50.08646064,0.009909166,20.84435436,2.662754358,0.014206396,2026/04/28 6:57
1412,4499 JT Equity,Ｓｐｅｅｅ,IT Services,スタンダード,2026/05/15,14:00,29393146000,116970.3704,2542,2435,0.043942505,2507,2545,2526,0.031862745,44400,2542,2425,-0.068181818,0.06270903,0.028317152,0.15808656,0.766504517,-0.294868239,2651.222222,44.13753863,,,4.186744185,-0.041196932,2026/04/28 6:57
1413,4502 JT Equity,武田薬品工業,Pharmaceuticals,プライム,2026/05/13,14:30,8.41601E+12,4231025.926,5289,5218,0.013606746,5281,5290,5285.5,0.012935991,3363300,5295,5224,-0.074216699,0.058948904,0.250948008,0.282560815,0.33155171,0.826257918,5637.777778,30.0000042,0.037814332,27.64974111,1.093097819,-0.061864407,2026/04/28 6:57
1414,4503 JT Equity,アステラス製薬,Pharmaceuticals,プライム,2026/07/30,,4.17308E+12,5362688.889,2306,2385.5,-0.033326347,2300,2306.5,2303.25,-0.034479145,10866600,2403,2263.5,-0.098690639,0.098100875,0.46002561,0.671218672,0.27369541,0.712135407,2539.240741,24.44747934,0.033824805,12.66224928,2.258655968,-0.091854521,2026/04/28 6:57
1415,4506 JT Equity,住友ファーマ,Pharmaceuticals,プライム,2026/05/13,12:00,8.31478E+11,12639914.81,1851,1935,-0.043410853,1850,1851,1850.5,-0.043916301,13028100,1942,1822,-0.121499763,-0.182059213,0.104415274,1.694323144,1.175088132,0.033318613,2041,34.8765237,,12.66353578,2.545112495,-0.093091622,2026/04/28 6:57
1416,4507 JT Equity,塩野義製薬,Pharmaceuticals,プライム,2026/05/12,14:30,2.82903E+12,2705159.259,3180,3075,0.034146341,3174,3181,3177.5,0.031655844,3540100,3180,3070,-0.089347079,0.04438103,0.288935369,0.354257231,0.689787759,0.849655795,3359.925926,40.68465729,0.022327044,14.31101978,1.705832497,-0.053550563,2026/04/28 6:57
1417,4512 JT Equity,わかもと製薬,Pharmaceuticals,スタンダード,2026/05/15,14:00,12263090400,101733.3333,352,347,0.014409222,351,353,352,0.015873016,48900,353,343,0.002849003,0.137847907,0.219960643,0.095705392,0.487702885,0.052954095,349.5185185,53.38974671,0.008522727,96.96181715,1.010372334,0.007099714,2026/04/28 6:57
1418,4516 JT Equity,日本新薬,Pharmaceuticals,プライム,2026/05/15,11:00,3.4346E+11,222455.5556,4889,4836,0.010959471,4869,4890,4879.5,0.008369498,132700,4889,4817,-0.053436592,-0.041145944,0.493415916,0.385446536,-0.140680448,-0.243962102,5146.222222,34.31891236,0.02536306,10.76578135,1.160787658,-0.049982727,2026/04/28 6:57
1419,4519 JT Equity,中外製薬,Pharmaceuticals,プライム,2026/07/24,15:00,1.33317E+13,2925374.074,7940,7445,0.066487576,7900,7941,7920.5,0.064082757,5707500,7948,7570,-0.083140878,-0.060021309,0.172281943,0.024563018,1.420727909,1.134067448,8591.296296,38.57164721,0.034256927,27.38976927,6.849743628,-0.07580885,2026/04/28 6:57
1420,4521 JT Equity,科研製薬,Pharmaceuticals,プライム,2026/05/13,14:00,1.79207E+11,103574.0741,4060,4075,-0.003680982,4045,4065,4055,-0.001846154,128900,4090,4015,-0.019323671,0.028010953,0.131960821,0.059583044,0.246395567,0.120949134,4163.888889,40.16136851,0.04679803,,1.054437757,-0.024949967,2026/04/28 6:57
1421,4523 JT Equity,エーザイ,Pharmaceuticals,プライム,2026/05/15,14:30,1.34304E+12,1043781.481,4605,4570,0.007658643,4588,4606,4597,0.005688033,1147300,4635,4539,-0.056352459,0.080944989,0.021941442,0.166841152,-0.35842154,-0.269452796,4917.37037,31.33500612,0.034744843,29.48218961,1.45914424,-0.063523865,2026/04/28 6:57
1422,4524 JT Equity,森下仁丹,Personal Care Products,スタンダード,2026/05/13,14:00,9275250000,1951.851852,2235,2220,0.006756757,2221,2234,2227.5,0.000449135,200,2235,2235,-0.002232143,0.030862802,0.069699958,0.095169005,0.174398237,0.267422043,2241.925926,50.44032607,0.029082774,14.59719691,0.721144224,-0.003089275,2026/04/28 6:57
1423,4526 JT Equity,理研ビタミン,Food Products,プライム,2026/05/13,15:00,84500435200,72948.14815,2752,2756,-0.001451379,2749,2752,2750.5,-0.001089522,61000,2762,2741,-0.038098567,-0.093730346,-0.017890554,0.153657786,0.505279362,1.363912925,2875.37037,27.35146324,0.03997093,14.17370245,0.986128385,-0.042905906,2026/04/28 6:57
1424,4527 JT Equity,ロート製薬,Personal Care Products,プライム,2026/05/13,14:30,5.64112E+11,632692.5926,2388.5,2394,-0.00229741,2385.5,2391,2388.25,-0.002506004,634900,2402.5,2356.5,-0.003130217,-0.067506572,-0.007234251,0.025156768,-0.117073194,0.808813785,2415.537037,46.4823693,0.018421604,15.67383771,1.877546724,-0.011192971,2026/04/28 6:57
1425,4528 JT Equity,小野薬品工業,Pharmaceuticals,プライム,2026/05/08,11:00,1.15323E+12,1617955.556,2312.5,2304.5,0.003471469,2310,2313,2311.5,0.002602472,1766800,2316,2272,-0.081247517,0.036738791,0.287613099,0.456995771,-0.056101412,-0.0065112,2454.796296,32.90419729,0.034594595,16.25944703,1.294154272,-0.057966641,2026/04/28 6:57
1426,4531 JT Equity,有機合成薬品工業,Chemicals,スタンダード,2026/05/15,,7690900000,62907.40741,350,348,0.005747126,349,350,349.5,0.005755396,82300,351,346,-0.109414758,-0.244408732,0.246200876,0.43562341,0.30261606,0.362436185,384.0740741,25.40861669,0.028571429,10.7591043,0.566084013,-0.088717454,2026/04/28 6:57
1427,4534 JT Equity,持田製薬,Pharmaceuticals,プライム,2026/05/15,13:00,1.21907E+11,183140.7407,3350,3345,0.001494768,3345,3360,3352.5,0.000746269,58200,3350,3305,-0.07073509,-0.045867438,0.125305846,0.108080849,0.033941368,-0.011445802,3522.592593,34.80783796,0.023880597,18.48425949,0.864122324,-0.048995899,2026/04/28 6:57
1428,4536 JT Equity,参天製薬,Pharmaceuticals,プライム,2026/05/12,14:30,5.31926E+11,924548.1481,1650.5,1647.5,0.001820941,1650.5,1653,1651.75,0.00045427,656000,1652,1631,-0.065402039,-0.03120943,0.097176824,0.199943987,0.547713698,0.330238159,1772.444444,28.60839457,0.023023326,16.51433258,1.873509783,-0.06880015,2026/04/28 6:57
1429,4538 JT Equity,扶桑薬品工業,Pharmaceuticals,プライム,2026/05/12,14:00,21009948687,25496.2963,2223,2223,0,2210,2225,2217.5,-0.001575867,20800,2232,2208,-0.071040535,0.001239247,0.053887006,-0.043456872,0.207747142,0.093906253,2320.703704,25.70863978,0.04048583,9.49351905,0.54766073,-0.042100895,2026/04/28 6:57
1430,4539 JT Equity,日本ケミファ,Pharmaceuticals,スタンダード,2026/05/15,14:00,7269982520,1744.444444,1706,1726,-0.011587486,1671,1706,1688.5,-0.003540868,3500,1709,1680,-0.015579919,0.031875958,0.092234601,0.198103074,0.040292979,-0.177739635,1715.074074,49.74311812,0.029308324,15.80793562,0.321313385,-0.005290777,2026/04/28 6:57
1431,4540 JT Equity,ツムラ,Pharmaceuticals,プライム,2026/05/13,10:30,2.84006E+11,243555.5556,3700,3692,0.002166847,3687,3701,3694,0,350500,3728,3630,-0.010430596,-0.053595569,0.05364423,-0.108900393,0.478123675,0.160908283,3773.555556,34.91683076,0.038918919,9.934542988,0.903323151,-0.019492374,2026/04/28 6:57
1432,4543 JT Equity,テルモ,Health Care Equipment & Supplies,プライム,2026/05/15,14:30,3.04329E+12,5079325.926,2055.5,2025,0.015061728,2055,2058,2056.5,0.015304863,3992900,2057.5,2031.5,-0.023051331,0.02406838,-0.190713749,-0.243231844,0.046498704,0.046401181,2133.907407,38.57229976,0.014594989,20.32843009,1.991694742,-0.036743585,2026/04/28 6:57
1433,4544 JT Equity,H.U.グループホールディングス,Health Care Providers & Services,プライム,2026/05/14,13:00,1.83515E+11,248825.9259,3192,3258,-0.020257827,3192,3200,3196,-0.01903008,446500,3281,3133,-0.007771215,0.012919519,-0.160126345,0.216517108,0.325596265,0.117048048,3174.5,51.78982501,0.039160401,91.87932422,1.311722019,0.005512679,2026/04/28 6:57
1434,4547 JT Equity,キッセイ薬品工業,Pharmaceuticals,プライム,2026/05/11,15:00,2.11533E+11,70274.07407,4545,4555,-0.00219539,4535,4550,4542.5,-0.000550055,105900,4560,4465,-0.026766595,0.024795439,0.132273985,0.271869408,0.800504126,1.355411854,4701.481481,35.18555376,0.03520352,155.7230161,0.870641113,-0.033283441,2026/04/28 6:57
1435,4548 JT Equity,生化学工業,Pharmaceuticals,プライム,2026/05/13,15:00,40110749658,124851.8519,706,702,0.005698006,703,707,705,0.004989309,116500,706,697,-0.039455782,0.041052259,0.073633626,0.040238281,-0.050977569,-0.166911607,737,32.75519174,0.042492918,,0.527975545,-0.042062415,2026/04/28 6:57
1436,4549 JT Equity,栄研化学,Health Care Equipment & Supplies,プライム,2026/05/12,12:00,1.07251E+11,166825.9259,3105,3090,0.004854369,3095,3110,3102.5,0.00648824,133700,3110,3075,0.031561462,0.297027423,0.316638086,0.419987032,1.122398303,0.608142147,3172.37037,40.89917265,0.018679549,38.4678864,2.340064494,-0.021236603,2026/04/28 6:57
1437,4552 JT Equity,ＪＣＲファーマ,Pharmaceuticals,プライム,2026/05/13,14:00,72754018788,567866.6667,561,558,0.005376344,559,562,560.5,0.005381166,504500,561,551,-0.026041667,-0.132614615,-0.051927602,0.19254025,-0.582256268,-0.788512327,578.8518519,40.1488869,0.035650624,,1.477266568,-0.030840105,2026/04/28 6:57
1438,4553 JT Equity,東和薬品,Pharmaceuticals,プライム,2026/05/14,14:00,2.10443E+11,84355.55556,4085,4085,0,4080,4095,4087.5,0.000611995,76600,4125,4055,-0.001222494,0.171861108,0.445829338,0.592204954,1.258618994,1.090925401,4179.814815,40.17128466,0.019583843,9.397446648,1.060134413,-0.022683975,2026/04/28 6:57
1439,4554 JT Equity,富士製薬工業,Pharmaceuticals,プライム,2026/05/12,,59505146200,105125.9259,2242,2225,0.007640449,2231,2245,2238,0.007427414,149500,2242,2169,-0.074700784,0.203873341,0.408389472,0.679069582,0.980422022,1.153980553,2399.037037,29.99639981,0.021632471,12.72243673,1.144181283,-0.065458363,2026/04/28 6:57
1440,4556 JT Equity,カイノス,Health Care Equipment & Supplies,スタンダード,2026/05/08,12:00,10334935620,4700,2267,2267,0,2267,2269,2268,0,2100,2267,2267,0.002210433,0.782232704,0.861247947,0.817963111,1.286612389,1.482382067,2264.04,55.41705307,,15.9606847,1.342697784,0.001307397,2026/04/28 6:57
1441,4558 JT Equity,中京医薬品,Consumer Staples Distribution & Retail,スタンダード,2026/05/13,,2332146800,13574.07407,200,200,0,199,200,199.5,0,1800,200,199,-1.11E-16,-0.026442308,-0.012195122,0.019287366,-0.041573593,-0.379123723,200.8148148,45.30295609,0.025,18.75132666,0.788378403,-0.004057543,2026/04/28 6:57
1442,4559 JT Equity,ゼリア新薬工業,Pharmaceuticals,プライム,2026/05/08,15:00,1.10463E+11,98900,2204,2192,0.005474453,2193,2205,2199,0.004109589,94600,2208,2180,0.000453926,0.105164134,0.110120027,-0.02130675,-0.034048556,0.243944972,2245.148148,40.34335458,0.021778584,13.35467601,1.011840962,-0.018327587,2026/04/28 6:57
1443,4563 JT Equity,アンジェス,Biotechnology,グロース,2026/05/08,15:00,20609396600,1833455.556,52,51,0.019607843,51,52,51.5,0,642400,52,51,-0.103448276,-0.118644068,-0.358024691,-0.235294118,-0.469387755,-0.943478261,56.81481481,31.48101777,,,6.576346727,-0.084745763,2026/04/28 6:57
1444,4564 JT Equity,オンコセラピー・サイエンス,Biotechnology,グロース,2026/05/08,,9567448800,139239940.7,24,24,0,24,25,24.5,0.020833333,163222900,25,23,0.142857143,0.142857143,6.66E-16,0.043478261,-0.314285714,-0.796610169,24.2962963,46.37891233,,,4.22636456,-0.012195122,2026/04/28 6:57
1445,4565 JT Equity,ネクセラファーマ,Pharmaceuticals,プライム,2026/05/01,14:00,88053323155,1062996.296,973,951,0.023133544,970,975,972.5,0.022070415,557100,977,954,0.122260669,0.222361809,0.063387978,0.094488189,-0.63571696,-0.439838803,970.4444444,47.34156376,,,1.443536576,0.002633387,2026/04/28 6:57
1446,4568 JT Equity,第一三共,Pharmaceuticals,プライム,2026/05/11,14:30,5.02098E+12,8587022.222,2650.5,2602.5,0.018443804,2650,2651.5,2650.75,0.018637717,13321300,2670,2545.5,-0.058938399,-0.082239958,-0.324654083,-0.226015534,-0.399906832,0.007050666,2834.796296,41.33093692,0.02942841,16.69754111,2.868218876,-0.065012183,2026/04/28 6:57
1447,4569 JT Equity,杏林製薬,Pharmaceuticals,プライム,2026/05/12,14:00,93395308678,102900,1558,1560,-0.001282051,1558,1560,1559,-0.005105297,116000,1566,1548,-0.055757576,-0.004414394,0.126546655,0.089245227,-0.014284713,-0.047177559,1645.851852,23.53873984,0.036585366,8.349150007,0.644502794,-0.05337774,2026/04/28 6:57
1448,456A JT Equity,HUMAN MADE,Specialty Retail,グロース,2026/06/19,,1.20147E+11,669800,1311,1227.5,0.06802444,1305,1316,1310.5,0.065447154,331000,1338,1241,-0.010566038,0.365625,0.479266573,0.479266573,0.479266573,0.479266573,1286.981481,53.52697119,,39.14598714,10.18172695,0.018662676,2026/04/28 6:57
1449,4570 JT Equity,免疫生物研究所,Life Sciences Tools & Services,グロース,2026/05/13,14:00,12919336330,114329.6296,1387,1396,-0.006446991,1387,1391,1389,-0.0028715,41800,1406,1382,0.007262164,-0.078674886,1.920426778,1.976588831,2.69507579,1.60869583,1432.407407,37.48260164,0.004325883,35.50492768,7.32897542,-0.031700065,2026/04/28 6:57
1450,4571 JT Equity,NANOホールディングス,Biotechnology,グロース,2026/05/15,14:00,11494106120,662533.3333,140,141,-0.007092199,139,140,139.5,-0.007117438,212200,141,139,-0.108280255,7.19E-03,-0.130434783,0.06870229,-0.333333333,-0.539473684,150.5925926,31.7250634,,,3.868592768,-0.0703394,2026/04/28 6:57
1451,4572 JT Equity,カルナバイオサイエンス,Life Sciences Tools & Services,グロース,2026/05/08,,7390729500,152937.037,385,384,0.002604167,385,388,386.5,0.00520156,31900,390,381,0.013157895,-0.110854503,0.807511737,0.415441176,-0.428783383,-0.704528012,397.3703704,40.92261682,,,23.83004537,-0.031130581,2026/04/28 6:57
1452,4574 JT Equity,大幸薬品,Health Care Equipment & Supplies,プライム,2026/05/14,14:00,14836611700,104625.9259,293,290,0.010344828,291,293,292,0.005163511,80800,293,289,0.017361111,0.031690141,0.032024701,0.07315612,-0.22665512,-0.754808701,295.7407407,45.78046297,0.011262798,20.87116232,1.728527564,-0.009267376,2026/04/28 6:57
1453,4575 JT Equity,キャンバス,Biotechnology,グロース,2026/05/14,14:00,13622135605,129344.4444,691,689,0.002902758,691,692,691.5,0.002900653,104400,703,688,-0.048209366,-0.182248521,-0.187058824,-0.329126214,-0.579427876,0.610722611,734.6666667,31.58914194,,,5.728575144,-0.059437387,2026/04/28 6:57
1454,4576 JT Equity,ﾃﾞ･ｳｴｽﾀﾝ･ｾﾗﾋﾟﾃｸｽ研究所,Biotechnology,グロース,2026/05/14,14:30,5185381292,577444.4444,91,91,0,91,92,91.5,0,130300,93,91,-0.042105263,-0.09,-0.125,-0.157407407,-0.547263682,-0.687285223,93.40740741,38.64433871,,,3.439258215,-0.025773196,2026/04/28 6:57
1455,4577 JT Equity,ダイト,Pharmaceuticals,プライム,2026/07/10,,37922068800,83237.03704,1260,1265,-0.003952569,1254,1262,1258,-0.005140372,82900,1263,1246,-0.128027682,-0.047619048,0.053970142,0.276740626,0.201825459,-0.097563144,1392.703704,18.1389439,0.029761905,13.20293265,0.703119684,-0.095284951,2026/04/28 6:57
1456,4578 JT Equity,大塚ホールディングス,Pharmaceuticals,プライム,2026/04/28,12:30,6.07062E+12,1160148.148,11180,10645,0.050258337,11165,11190,11177.5,0.050516917,2554800,11440,10650,-0.005780347,0.227492314,0.370282609,0.677595311,1.56522721,1.925629715,10892.59259,61.39722607,0.012522361,,1.946470317,0.026385583,2026/04/28 6:57
1457,4579 JT Equity,ラクオリア創薬,Pharmaceuticals,グロース,2026/05/15,14:00,20590847683,208411.1111,791,802,-0.013715711,789,792,790.5,-0.014339152,105400,802,782,-0.006281407,-0.196138211,0.443430657,0.896882494,-0.012484395,-0.212151394,820.7407407,37.52043803,,69.63028169,2.805384187,-0.036236462,2026/04/28 6:57
